epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,16450.7,1.16278,1.20616,0.02072,0.60913,0.60674,0.62697,0.45999,1.09651,0.82577,0.02406,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,16707.3,1.15637,1.20259,0.02059,0.60446,0.60876,0.6272,0.46121,1.09653,0.82198,0.02406,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,16964.4,1.16393,1.20823,0.02065,0.59252,0.60979,0.62672,0.4608,1.09639,0.82263,0.02406,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,17225.2,1.15114,1.1759,0.02043,0.58725,0.62213,0.62919,0.46288,1.09438,0.81933,0.02401,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,17478.6,1.15978,1.19011,0.02077,0.56918,0.63144,0.62923,0.46275,1.09405,0.81906,0.02401,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,17739.1,1.15941,1.1867,0.02065,0.56194,0.63632,0.63025,0.46377,1.0932,0.8195,0.02399,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,17997.2,1.14884,1.18698,0.02056,0.56695,0.63274,0.6303,0.46371,1.0951,0.81384,0.02407,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,18259.7,1.15593,1.18333,0.02067,0.5724,0.63111,0.63106,0.46444,1.09567,0.81133,0.02408,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
70,18525.5,1.15228,1.17748,0.02063,0.65638,0.56949,0.63002,0.46427,1.09588,0.81018,0.02409,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,18790.8,1.15081,1.18107,0.02042,0.65564,0.56846,0.63,0.4644,1.09536,0.81088,0.02407,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,19046.6,1.14547,1.178,0.02018,0.6578,0.56951,0.63064,0.46551,1.09509,0.81023,0.02407,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
73,19320.4,1.14083,1.16231,0.02011,0.65741,0.56904,0.63065,0.46532,1.0938,0.8092,0.02401,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
74,19579.3,1.14423,1.15785,0.02032,0.66412,0.56373,0.63083,0.46655,1.09249,0.81102,0.02397,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,19840.8,1.14287,1.16021,0.02027,0.66294,0.56341,0.631,0.46628,1.09071,0.81149,0.02392,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
76,20101.6,1.1356,1.15252,0.02005,0.66176,0.56557,0.63076,0.46573,1.09193,0.81108,0.02397,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
77,20364,1.13274,1.14656,0.02008,0.66497,0.56738,0.63108,0.46641,1.09181,0.80865,0.02397,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
78,20638.4,1.13814,1.176,0.02016,0.66822,0.56663,0.63207,0.46684,1.09145,0.80747,0.02394,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997
79,20911.5,1.13188,1.12616,0.02,0.67051,0.56662,0.63278,0.46757,1.09181,0.80997,0.02395,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
80,21179.1,1.12668,1.12569,0.01998,0.67108,0.56613,0.63276,0.46734,1.09165,0.80993,0.02392,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339
81,21442.9,1.1269,1.12639,0.02001,0.67521,0.56502,0.62463,0.46124,1.09019,0.81285,0.02389,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
82,21700,1.12419,1.13362,0.01993,0.6756,0.56527,0.62526,0.46194,1.0894,0.81459,0.02388,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055
83,21964.5,1.13079,1.12963,0.01996,0.68387,0.56439,0.62582,0.46217,1.08995,0.81169,0.02389,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
84,22222,1.11653,1.11648,0.01976,0.68143,0.56306,0.62405,0.46088,1.08901,0.81486,0.02387,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617
85,22481.4,1.1266,1.11429,0.01993,0.68626,0.56108,0.62304,0.46071,1.08902,0.81383,0.02386,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
86,22738.6,1.12142,1.10685,0.01974,0.68509,0.55637,0.62481,0.46259,1.08889,0.81235,0.02387,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
87,22998.3,1.12429,1.10368,0.0198,0.59086,0.61973,0.62499,0.4621,1.08996,0.81092,0.02391,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
88,23270.3,1.12004,1.11098,0.0199,0.59545,0.61922,0.6275,0.46413,1.08981,0.80883,0.02393,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538
89,23535.8,1.1159,1.10909,0.01967,0.60019,0.61505,0.62316,0.46059,1.08919,0.81042,0.02389,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
90,23804.6,1.11434,1.08603,0.01982,0.60642,0.61482,0.62308,0.46049,1.08712,0.81387,0.02385,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105
91,24066.1,1.11308,1.08962,0.01971,0.60702,0.61529,0.62543,0.46217,1.08643,0.81428,0.02384,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
92,24332,1.10875,1.09449,0.01961,0.60648,0.615,0.6243,0.46165,1.08618,0.81786,0.02382,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746
93,24592.3,1.10834,1.07765,0.01961,0.60881,0.61239,0.62312,0.46146,1.08518,0.81604,0.02382,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
94,24849.6,1.1015,1.07547,0.01944,0.609,0.61191,0.61923,0.45879,1.08468,0.81682,0.02379,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318
95,25102.1,1.10057,1.0811,0.01955,0.60938,0.61203,0.61898,0.45933,1.08398,0.81815,0.02378,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
96,25359.9,1.10298,1.06751,0.01943,0.60876,0.61023,0.61888,0.45988,1.08463,0.81836,0.0238,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
97,25617.5,1.09685,1.07603,0.01938,0.60299,0.61426,0.61621,0.45823,1.08356,0.81622,0.02376,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
98,25876.3,1.09365,1.0624,0.01933,0.60212,0.61383,0.61578,0.45825,1.08338,0.81503,0.02379,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318
99,26127,1.09497,1.04397,0.01926,0.61012,0.61,0.6161,0.45868,1.08254,0.8151,0.02377,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
100,26388.8,1.0898,1.03834,0.01914,0.6186,0.60628,0.61644,0.45993,1.08272,0.81497,0.02375,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775
101,26651.3,1.09097,1.04745,0.019,0.62355,0.60511,0.61517,0.45917,1.08246,0.81628,0.02376,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,26913.1,1.08579,1.05209,0.01918,0.63522,0.6012,0.61602,0.45917,1.08286,0.81548,0.02379,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225
103,27171.1,1.08911,1.03488,0.01892,0.6377,0.59534,0.61501,0.45898,1.08167,0.81821,0.02374,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
104,27427,1.08452,1.04376,0.01898,0.64077,0.59137,0.61483,0.45884,1.08137,0.82036,0.02372,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682
105,27683.5,1.08537,1.03996,0.01901,0.64635,0.58894,0.61308,0.45792,1.08047,0.82419,0.02368,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
106,27931.3,1.08585,1.03908,0.01911,0.65212,0.58902,0.61446,0.4585,1.08035,0.82308,0.02367,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
