epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,12596.2,1.17003,1.24712,0.02102,0.7525,0.51828,0.59678,0.43082,1.12572,0.78365,0.02461,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
50,12839.9,1.16936,1.26129,0.02103,0.75333,0.52249,0.59704,0.43096,1.12109,0.78332,0.02449,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251
51,13094.4,1.16974,1.25836,0.02089,0.62853,0.55279,0.5976,0.42926,1.12226,0.77974,0.02449,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
52,13352.3,1.18049,1.25762,0.02105,0.63532,0.54462,0.59778,0.43062,1.1227,0.77977,0.02452,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
53,13610.9,1.17086,1.24901,0.02106,0.64991,0.54286,0.59815,0.4318,1.12206,0.77753,0.02459,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
54,13863.4,1.16801,1.24059,0.02102,0.65349,0.53666,0.59986,0.43042,1.11979,0.77902,0.0245,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697
55,14111.9,1.16897,1.23452,0.02095,0.66384,0.53752,0.59949,0.43104,1.11901,0.78415,0.02449,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
56,14371.9,1.16633,1.22898,0.02096,0.66291,0.53574,0.60157,0.43382,1.1206,0.78544,0.02455,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
57,14630.1,1.16288,1.23509,0.02077,0.66785,0.53186,0.60016,0.43288,1.11911,0.78864,0.02449,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
58,14887.2,1.16718,1.23771,0.02085,0.66604,0.53182,0.5986,0.43264,1.11826,0.78628,0.02445,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
59,15145.6,1.16441,1.2258,0.02095,0.66654,0.53335,0.59815,0.43318,1.11695,0.78943,0.02441,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
60,15394.7,1.15449,1.21142,0.02058,0.66783,0.53364,0.59761,0.43271,1.11675,0.78765,0.02443,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488
61,15644.7,1.16023,1.19931,0.02075,0.73529,0.53142,0.5979,0.43344,1.11733,0.78917,0.02447,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
62,15892.8,1.15626,1.21438,0.02065,0.74198,0.53001,0.59594,0.43287,1.1182,0.78673,0.02448,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395
63,16142.7,1.15802,1.19762,0.02071,0.74166,0.52932,0.5958,0.43352,1.11681,0.78516,0.02443,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
64,16395.8,1.16322,1.21817,0.02076,0.73852,0.52713,0.594,0.43278,1.1158,0.78703,0.02437,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
65,16643.6,1.14086,1.18377,0.02033,0.74833,0.52339,0.59468,0.4322,1.11532,0.78501,0.02441,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
66,16898.3,1.15631,1.20732,0.02068,0.74306,0.52828,0.59451,0.43312,1.11595,0.78448,0.02444,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
67,17151.4,1.15866,1.19122,0.02066,0.74897,0.5279,0.59586,0.43496,1.11532,0.78407,0.02444,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
68,17400.4,1.14896,1.18459,0.02067,0.74666,0.52899,0.5967,0.43507,1.11554,0.78489,0.02442,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079
69,17651.6,1.15482,1.19045,0.02066,0.74748,0.52788,0.59611,0.43458,1.11569,0.78262,0.02449,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
70,17900.1,1.15454,1.19152,0.02077,0.7475,0.52652,0.5988,0.43678,1.11418,0.78525,0.02444,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
71,18147.7,1.15041,1.1977,0.02052,0.75266,0.52237,0.59877,0.43738,1.11339,0.78551,0.02441,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
72,18393,1.15115,1.18712,0.02038,0.75499,0.52288,0.60036,0.43754,1.11319,0.78448,0.02443,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368
73,18640.7,1.14622,1.18212,0.02032,0.74998,0.52273,0.59931,0.43755,1.11371,0.78847,0.02443,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
74,18889.3,1.14688,1.16511,0.02047,0.74356,0.52738,0.59986,0.43812,1.11356,0.78483,0.02445,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271
75,19136.2,1.14699,1.17207,0.02046,0.75279,0.52081,0.59988,0.4397,1.1156,0.78022,0.02452,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
76,19387.2,1.14815,1.18153,0.02044,0.75084,0.52115,0.59946,0.43876,1.11514,0.78342,0.0245,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
77,19637.3,1.14602,1.16407,0.02044,0.75362,0.52146,0.59483,0.43297,1.11569,0.78232,0.0245,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
78,19892.7,1.1466,1.182,0.02048,0.74422,0.52584,0.59927,0.43772,1.11521,0.78612,0.02449,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611
79,20147.1,1.14325,1.15844,0.02044,0.75047,0.52324,0.59996,0.43821,1.11541,0.78733,0.02449,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
80,20405,1.13837,1.15853,0.02033,0.76095,0.51801,0.60032,0.43808,1.11562,0.78926,0.02451,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054
81,20654.2,1.13579,1.1659,0.02027,0.74201,0.528,0.59975,0.4376,1.11493,0.79017,0.02451,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
82,20904.9,1.13699,1.15769,0.02024,0.74682,0.5261,0.59871,0.43722,1.11531,0.78882,0.02452,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
83,21153,1.14279,1.1799,0.0203,0.75699,0.52215,0.60943,0.44584,1.1157,0.78804,0.02454,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
84,21403,1.13563,1.15425,0.02019,0.75352,0.52183,0.60719,0.44387,1.11503,0.78874,0.02454,0.024735,0.00824502,0.024735,0.00824502,0.024735,0.00824502,0.024735,0.00824502
85,21651.9,1.13977,1.14896,0.02032,0.75073,0.5233,0.60727,0.44485,1.11595,0.78615,0.02459,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
86,21902.8,1.13959,1.13177,0.02024,0.74734,0.52576,0.59397,0.43394,1.11561,0.78807,0.02459,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
87,22152.7,1.13598,1.14075,0.02012,0.74725,0.52619,0.59377,0.43421,1.11591,0.78667,0.02463,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
88,22400.3,1.13256,1.14519,0.02018,0.75384,0.52248,0.59381,0.43485,1.11604,0.78845,0.02465,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
89,22653.1,1.13313,1.13565,0.0201,0.67647,0.53201,0.5932,0.43471,1.11629,0.78585,0.02464,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
90,22903.7,1.13091,1.13168,0.02023,0.65506,0.5409,0.58678,0.42735,1.11498,0.78771,0.02458,0.0240039,0.00800131,0.0240039,0.00800131,0.0240039,0.00800131,0.0240039,0.00800131
91,23151,1.13231,1.12732,0.02017,0.73446,0.53121,0.59759,0.43766,1.11424,0.78995,0.02456,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
92,23405.6,1.12582,1.13564,0.02005,0.75954,0.5178,0.59644,0.43625,1.11391,0.78699,0.02454,0.0237523,0.00791744,0.0237523,0.00791744,0.0237523,0.00791744,0.0237523,0.00791744
93,23662.5,1.12785,1.12131,0.02011,0.73577,0.52863,0.59048,0.42989,1.11437,0.78514,0.02455,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
94,23918.5,1.12459,1.12359,0.01999,0.74521,0.5218,0.59096,0.42921,1.11508,0.78366,0.02456,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
95,24174.1,1.12668,1.11798,0.02013,0.73809,0.52833,0.59778,0.43666,1.11496,0.78224,0.02456,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
96,24428.6,1.13094,1.13589,0.02012,0.73533,0.52756,0.59412,0.43526,1.1143,0.78683,0.02453,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
97,24680.2,1.1257,1.1238,0.02007,0.7361,0.52882,0.59636,0.43668,1.11435,0.78239,0.02452,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
98,24930.3,1.11863,1.12265,0.01991,0.73851,0.5279,0.59602,0.43658,1.11328,0.78318,0.02449,0.0229753,0.00765843,0.0229753,0.00765843,0.0229753,0.00765843,0.0229753,0.00765843
99,25181.7,1.12335,1.10805,0.01994,0.73804,0.52969,0.5951,0.43599,1.11188,0.78514,0.02443,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
100,25432.2,1.12219,1.10572,0.01998,0.72914,0.52807,0.602,0.44261,1.11249,0.78237,0.02447,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
101,25681.9,1.1213,1.11165,0.01991,0.74443,0.52605,0.5963,0.43872,1.1128,0.78199,0.02447,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
102,25936,1.12349,1.12007,0.02011,0.74703,0.52661,0.59632,0.4383,1.1116,0.78506,0.02446,0.0224399,0.00747997,0.0224399,0.00747997,0.0224399,0.00747997,0.0224399,0.00747997
